0:0:0:0:0:0:0:1 - - [25/Sep/2024:13:28:05 +0900] "GET /edu/jsexam/asdasd.html HTTP/1.1" 200 6227
0:0:0:0:0:0:0:1 - - [25/Sep/2024:13:28:05 +0900] "GET /edu/jsexam/style.css HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:04:03 +0900] "GET /edu/jsexam/exercise7.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:04:22 +0900] "GET /edu/jsexam/domexam/exem8_1.html HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:04:24 +0900] "GET /edu/jsexam/exercise7.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:04:25 +0900] "GET /edu/jsexam/exercise7.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:04:44 +0900] "GET /edu/jsexam/domexam/exam8_1.html HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:10:15 +0900] "GET /edu/jsexam/domexam/exam8.html HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:11:18 +0900] "GET /edu/jsexam/domexam/exam8_1.html HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:11:19 +0900] "GET /edu/jsexam/domexam/exam8_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:20:29 +0900] "GET /edu/jsexam/domexam/exam8_2.html HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:23:34 +0900] "GET /edu/jsexam/domexam/exam9.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:28:10 +0900] "GET /edu/jsexam/domexam/exam10.html HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:28:10 +0900] "GET /edu/images/1.jpg HTTP/1.1" 200 15904
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:28:10 +0900] "GET /edu/images/4.jpg HTTP/1.1" 200 15958
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:28:10 +0900] "GET /edu/images/3.jpg HTTP/1.1" 200 15412
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:28:10 +0900] "GET /edu/images/5.jpg HTTP/1.1" 200 15009
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:28:10 +0900] "GET /edu/images/2.jpg HTTP/1.1" 200 13860
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:28:10 +0900] "GET /edu/images/6.jpg HTTP/1.1" 200 15483
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:28:10 +0900] "GET /edu/images/7.jpg HTTP/1.1" 200 16243
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:28:10 +0900] "GET /edu/images/9.jpg HTTP/1.1" 200 25499
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:28:10 +0900] "GET /edu/images/10.jpg HTTP/1.1" 200 22755
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:28:10 +0900] "GET /edu/images/8.jpg HTTP/1.1" 200 45230
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:33:25 +0900] "GET /edu/jsexam/domexam/exam10.html HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:37:39 +0900] "GET /edu/jsexam/domexam/exam11.html HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:39:20 +0900] "GET /edu/jsexam/domexam/exam11.html HTTP/1.1" 304 -
